handle,recipient,expiration,image_uris,image_hash,metadata_uris,metadata_hash,license_uris,license_hash
test11,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784970000,['https://testnet-nfts.xchandles.com/v1/test11.png'],340cbabef88d727b01af4beeb72d4e04bdbd3f44daa8c1ac68f1a34b48483f6e,['https://testnet-nfts.xchandles.com/v1/test11.json'],686320cabb31709a839e4428b73f17d16baee22e8e8c81eb0b5f2acd87d9548b,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test12,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785056400,['https://testnet-nfts.xchandles.com/v1/test12.png'],4b817893256820aa9080053cc3a2ffa35d0685b827e00bbea0f2525e69fe6e54,['https://testnet-nfts.xchandles.com/v1/test12.json'],927dc5e51fe3131b6cf1d107c82fab4d1818b0af17073be961d2a5862425e773,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test13,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785142800,['https://testnet-nfts.xchandles.com/v1/test13.png'],6c9d6d6dbcdc6f6ea5e0d996127ea974ed2947fe18db0455183b7917fcaf7660,['https://testnet-nfts.xchandles.com/v1/test13.json'],712364f626f7595fc8ea0094e903dc9ccf930dd371b6209414c4753e8666a407,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test14,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785229200,['https://testnet-nfts.xchandles.com/v1/test14.png'],af204d44329b3db0a759185781117992a5afea8190f13e57eabdf8fee0ec8fb0,['https://testnet-nfts.xchandles.com/v1/test14.json'],594e878878726366a9347c8ba0483e87432dcb02f7b672deca0f3dc8d2abf53d,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test15,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785315600,['https://testnet-nfts.xchandles.com/v1/test15.png'],6c025cf17c43714f43de3a1fb496778322f0cdba4976d9958023e801f90575a7,['https://testnet-nfts.xchandles.com/v1/test15.json'],93c3c8d21b279d3b54376d85681db6a5f872b67bf3ba2b5928e99d08cde7b3b4,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test16,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785402000,['https://testnet-nfts.xchandles.com/v1/test16.png'],fed25a9edc71e805954e862a053b9e25682efe428adc01d020b6db78a014df55,['https://testnet-nfts.xchandles.com/v1/test16.json'],9705b6f744c64dcd43fbeb88b674fe1fbcbe87ef010d8258931067f5c214c168,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test17,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785488400,['https://testnet-nfts.xchandles.com/v1/test17.png'],00e5a17d06c9a46732cc5c27a04474ea5c603692215555847f4d6befa41d7775,['https://testnet-nfts.xchandles.com/v1/test17.json'],bcaecfba2c814cf20c6977e8512fac97d5a63e88f4ea3a713e14f31d160454a5,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test18,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785574800,['https://testnet-nfts.xchandles.com/v1/test18.png'],4317289dcdffaddf8c8be221c9067434d4292d78154b4aea8e7cd3e6d42a7804,['https://testnet-nfts.xchandles.com/v1/test18.json'],b871e904ba594cca12e85df132a28702dd85313a74b14930368563a9c6e2d118,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test19,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785661200,['https://testnet-nfts.xchandles.com/v1/test19.png'],4bceb326cf0a93fda7f32c8f0224f1d74e7f0a04854238744d7a320d5e60fbeb,['https://testnet-nfts.xchandles.com/v1/test19.json'],c9e3f02d9dd8cbda590dbb1fdf59857e937336f4e5b691f6f743ec786d84bcb0,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test20,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785747600,['https://testnet-nfts.xchandles.com/v1/test20.png'],9673d51eb3643681cf09673ecccf101fc7e2da711a7f910ad76f44e6feb143bf,['https://testnet-nfts.xchandles.com/v1/test20.json'],d57c214a4b1e75f637bc308a078eb28c44f3787fb4d99b3b916e72387cfff855,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test21,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785834000,['https://testnet-nfts.xchandles.com/v1/test21.png'],ea3e29933e25b40dedd0135790d9ddb01ab2505883bf9ddd760156fb841f08b2,['https://testnet-nfts.xchandles.com/v1/test21.json'],988ead1102cf45c207860117a3b33e7b916fb49e8b688167cafd15fb02057e40,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test22,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1785920400,['https://testnet-nfts.xchandles.com/v1/test22.png'],3765c8208c0f4609abc7777340503f0ca8faddbede0c9179d63b68635f92f4f6,['https://testnet-nfts.xchandles.com/v1/test22.json'],ed6747da98552e341d51a2b2aceaf007006718dd041b4e7ebf112a76568d6091,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test23,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786006800,['https://testnet-nfts.xchandles.com/v1/test23.png'],f49e76d0d0f44b9cc0a10e4b980cf8060b9d971b76c039547113b5e1817b4f99,['https://testnet-nfts.xchandles.com/v1/test23.json'],a5c299c3f09c7d24f580c20a269faa8b492b036019b855922ee3e006bf30f283,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test24,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786093200,['https://testnet-nfts.xchandles.com/v1/test24.png'],d7a1ba38ec57736ec1fec3fe7380432e8ba1bb82d61253ec175693985a8cb845,['https://testnet-nfts.xchandles.com/v1/test24.json'],4572f80f00759fa0d3154b2aa483c15b1c2817297d1cc29271aff31ccfa31ece,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test25,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786179600,['https://testnet-nfts.xchandles.com/v1/test25.png'],7997ab3dcb8aa388f898c44e44a7be6f15d3d7bc5ee4c32f71ffd8070a9a6949,['https://testnet-nfts.xchandles.com/v1/test25.json'],9696339e11c740d5449acf5b7038f8f77aa2bf5aa507ab1c099001e448d7c8e3,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test26,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786266000,['https://testnet-nfts.xchandles.com/v1/test26.png'],23281983eb949178dfd6e863b1c89d0856c72985285aef55ff9b540c81c5d806,['https://testnet-nfts.xchandles.com/v1/test26.json'],eaa6c98cc574933296ae18b68bffe0b2368ebb6e59d51cfa730b4bc9f51f52ca,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test27,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786352400,['https://testnet-nfts.xchandles.com/v1/test27.png'],4a7854dd452aff85ac8491d74f28932350d85d1bf6f4cfd25ec61f8d0674bf60,['https://testnet-nfts.xchandles.com/v1/test27.json'],3373597e02155cd311c79b7cb9d95e47930b34b57f28455d7d297c5b71e08c15,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test28,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786438800,['https://testnet-nfts.xchandles.com/v1/test28.png'],7a749eb530adc593a0b29985a3830ba9be71239a889369fe52d825f4d8a755a7,['https://testnet-nfts.xchandles.com/v1/test28.json'],59750b4faa45a3305c15e2e0872cd63ebc06a95897c50199ae2cfef61f25aedd,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test29,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786525200,['https://testnet-nfts.xchandles.com/v1/test29.png'],b73a3e24d421754c263895baba7504e3046db4fe265afff38bd64a82b842dada,['https://testnet-nfts.xchandles.com/v1/test29.json'],32eca6ad90c6a4d88bd733cb64d9f3c74d6006b0a61344c2f6fdb0bd1ed1f7b2,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test30,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786611600,['https://testnet-nfts.xchandles.com/v1/test30.png'],5dc0fc808917cd1b1452c86f63c0aefc7e6b78b47c75b8a08492f2bda7dc89f9,['https://testnet-nfts.xchandles.com/v1/test30.json'],7e36dbfae68055147eab158a59e55a5408b421f163559a3de0492702673a1b96,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test31,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786698000,['https://testnet-nfts.xchandles.com/v1/test31.png'],03ee2992a4565379584f09da911e56adee7fa2fda2b2beb01316fe78166ea8f7,['https://testnet-nfts.xchandles.com/v1/test31.json'],733ba767404b81909e8f7f3c64fa165f502ec3bea4eb695d6ed3c1be6b05d54d,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test32,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786784400,['https://testnet-nfts.xchandles.com/v1/test32.png'],5fefb97545eea0e8ad2b20ca2eaef6268a089d1feb451225a961263bdb2b699b,['https://testnet-nfts.xchandles.com/v1/test32.json'],fe8b3404bf19b951a624b00c34eef4e971490dd9a49903550e161a6ca16cada1,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test33,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786870800,['https://testnet-nfts.xchandles.com/v1/test33.png'],af07edf689bd6b548e14cb300ab3fedb87fd41bbdafa9258096869be063994dc,['https://testnet-nfts.xchandles.com/v1/test33.json'],39d56fe35357543a85c241c1c43dd5a938114329de9d26331533175b841c4c25,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test34,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1786957200,['https://testnet-nfts.xchandles.com/v1/test34.png'],565559eef8c7fd3c46b2a2122a2ee96add031597949ebcca6433645d0e2f1e6b,['https://testnet-nfts.xchandles.com/v1/test34.json'],76f9d12436f298738b0fdcfc973fead4a0ad471ef82dfc39f942e7cd0f7be012,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test35,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1787043600,['https://testnet-nfts.xchandles.com/v1/test35.png'],ede32db436d1cc1c4fe6b7614232f4fea9dc2ac6b20f6da83dd899e77be77940,['https://testnet-nfts.xchandles.com/v1/test35.json'],383819902ce19382e09155a340d4b9a3ab6f76bc657a4c59b29605406821a2b0,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test36,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1787130000,['https://testnet-nfts.xchandles.com/v1/test36.png'],159f13aa28304a3da9d347eefd9e89b63d33ae6208161e7801ebed442712bfd6,['https://testnet-nfts.xchandles.com/v1/test36.json'],02e878df4e497b919c242ec6ed668d9b2e93a184848e0ecc32ae9d9cbeaf4fdc,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test37,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1787216400,['https://testnet-nfts.xchandles.com/v1/test37.png'],fc896f6d1dd69dbc7f43a50c1376579ca3c99e9416d330a44d3ca6cd22c428b4,['https://testnet-nfts.xchandles.com/v1/test37.json'],be3a0d8c3fe53ea5849c41f7317ab830b0440f7ac8cfa6b166875c700da52f5e,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test38,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1787302800,['https://testnet-nfts.xchandles.com/v1/test38.png'],0cd1784d7449da991691d374a540abc2b6910652a729ce3380c83310adcb222b,['https://testnet-nfts.xchandles.com/v1/test38.json'],62c694221ee5ea5948d4125f643e92d707d028f35e789a9ea79d6d81003397c8,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test39,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1787389200,['https://testnet-nfts.xchandles.com/v1/test39.png'],8043601a52073007cdc07c5a69b36bee72bcad4105a861b7e947cd3bfa5651db,['https://testnet-nfts.xchandles.com/v1/test39.json'],241bde62aae1b1650d836bf6dc7b2d0e4a37f3d3ef2e1c2d7c7e462ceec03221,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
yakuhito,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,2008141200,['https://testnet-nfts.xchandles.com/v1/yakuhito.png'],ab93d24f1c336eb21558c8f607a7fd9998704b7a7de1da6c77476e5bf414bddf,['https://testnet-nfts.xchandles.com/v1/yakuhito.json'],99ac450670fff1890d767a68e20923839df1f75cd08f955427e15bf1604e4b20,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
